Year,Marriage,Count
2020,Within Marriage (or Civil Partnership),313370
2020,Outside Marriage Joint Registrations,268603
2020,Outside Marriage Sole Registrations,31963
2019,Within Marriage (or Civil Partnership),329971
2019,Outside Marriage Joint Registrations,277285
2019,Outside Marriage Sole Registrations,33114
2018,Within Marriage (or Civil Partnership),339267
2018,Outside Marriage Joint Registrations,283745
2018,Outside Marriage Sole Registrations,34064
2017,Within Marriage (or Civil Partnership),352270
2017,Outside Marriage Joint Registrations,291633
2017,Outside Marriage Sole Registrations,35203
2016,Within Marriage (or Civil Partnership),364521
2016,Outside Marriage Joint Registrations,295628
2016,Outside Marriage Sole Registrations,36122
2015,Within Marriage (or Civil Partnership),364628
2015,Outside Marriage Joint Registrations,296420
2015,Outside Marriage Sole Registrations,36804
2014,Within Marriage (or Civil Partnership),364998
2014,Outside Marriage Joint Registrations,292456
2014,Outside Marriage Sole Registrations,37779
2013,Within Marriage (or Civil Partnership),367618
2013,Outside Marriage Joint Registrations,291595
2013,Outside Marriage Sole Registrations,39299
2012,Within Marriage (or Civil Partnership),383189
2012,Outside Marriage Joint Registrations,304606
2012,Outside Marriage Sole Registrations,41879
2011,Within Marriage (or Civil Partnership),382574
2011,Outside Marriage Joint Registrations,299521
2011,Outside Marriage Sole Registrations,41818
2010,Within Marriage (or Civil Partnership),384375
2010,Outside Marriage Joint Registrations,296298
2010,Outside Marriage Sole Registrations,42492
2009,Within Marriage (or Civil Partnership),380069
2009,Outside Marriage Joint Registrations,282440
2009,Outside Marriage Sole Registrations,43739
2008,Within Marriage (or Civil Partnership),387930
2008,Outside Marriage Joint Registrations,275317
2008,Outside Marriage Sole Registrations,45464
2007,Within Marriage (or Civil Partnership),384463
2007,Outside Marriage Joint Registrations,259849
2007,Outside Marriage Sole Registrations,45701
2006,Within Marriage (or Civil Partnership),378225
2006,Outside Marriage Joint Registrations,245921
2006,Outside Marriage Sole Registrations,45455
2005,Within Marriage (or Civil Partnership),369330
2005,Outside Marriage Joint Registrations,231335
2005,Outside Marriage Sole Registrations,45170
2004,Within Marriage (or Civil Partnership),369997
2004,Outside Marriage Joint Registrations,224352
2004,Outside Marriage Sole Registrations,45372
2003,Within Marriage (or Civil Partnership),364244
2003,Outside Marriage Joint Registrations,212350
2003,Outside Marriage Sole Registrations,44875
2002,Within Marriage (or Civil Partnership),354090
2002,Outside Marriage Joint Registrations,198903
2002,Outside Marriage Sole Registrations,43129
2001,Within Marriage (or Civil Partnership),356548
2001,Outside Marriage Joint Registrations,194342
2001,Outside Marriage Sole Registrations,43744
2000,Within Marriage (or Civil Partnership),365836
2000,Outside Marriage Joint Registrations,192832
2000,Outside Marriage Sole Registrations,45773
1999,Within Marriage (or Civil Partnership),379983
1999,Outside Marriage Joint Registrations,193686
1999,Outside Marriage Sole Registrations,48203
1998,Within Marriage (or Civil Partnership),395290
1998,Outside Marriage Joint Registrations,190651
1998,Outside Marriage Sole Registrations,49960
1997,Within Marriage (or Civil Partnership),404873
1997,Outside Marriage Joint Registrations,187640
1997,Outside Marriage Sole Registrations,50582
1996,Within Marriage (or Civil Partnership),416822
1996,Outside Marriage Joint Registrations,181647
1996,Outside Marriage Sole Registrations,51016
1995,Within Marriage (or Civil Partnership),428189
1995,Outside Marriage Joint Registrations,172033
1995,Outside Marriage Sole Registrations,47916
1994,Within Marriage (or Civil Partnership),449190
1994,Outside Marriage Joint Registrations,166506
1994,Outside Marriage Sole Registrations,49030
1993,Within Marriage (or Civil Partnership),456919
1993,Outside Marriage Joint Registrations,166306
1993,Outside Marriage Sole Registrations,50242
1992,Within Marriage (or Civil Partnership),474431
1992,Outside Marriage Joint Registrations,163753
1992,Outside Marriage Sole Registrations,51472
1991,Within Marriage (or Civil Partnership),487923
1991,Outside Marriage Joint Registrations,157163
1991,Outside Marriage Sole Registrations,54131
1990,Within Marriage (or Civil Partnership),506141
1990,Outside Marriage Joint Registrations,145168
1990,Outside Marriage Sole Registrations,54831
1989,Within Marriage (or Civil Partnership),501921
1989,Outside Marriage Joint Registrations,132267
1989,Outside Marriage Sole Registrations,53537
1988,Within Marriage (or Civil Partnership),516225
1988,Outside Marriage Joint Registrations,123408
1988,Outside Marriage Sole Registrations,53944
1987,Within Marriage (or Civil Partnership),523080
1987,Outside Marriage Joint Registrations,107957
1987,Outside Marriage Sole Registrations,50474
1986,Within Marriage (or Civil Partnership),519673
1986,Outside Marriage Joint Registrations,93523
1986,Outside Marriage Sole Registrations,47822
1985,Within Marriage (or Civil Partnership),530167
1985,Outside Marriage Joint Registrations,81792
1985,Outside Marriage Sole Registrations,44458
1984,Within Marriage (or Civil Partnership),526353
1984,Outside Marriage Joint Registrations,69872
1984,Outside Marriage Sole Registrations,40593
1983,Within Marriage (or Civil Partnership),529923
1983,Outside Marriage Joint Registrations,60794
1983,Outside Marriage Sole Registrations,38417
1982,Within Marriage (or Civil Partnership),536074
1982,Outside Marriage Joint Registrations,53404
1982,Outside Marriage Sole Registrations,36453
1981,Within Marriage (or Civil Partnership),553509
1981,Outside Marriage Joint Registrations,47140
1981,Outside Marriage Sole Registrations,33850
1980,Within Marriage (or Civil Partnership),578862
1980,Outside Marriage Joint Registrations,44168
1980,Outside Marriage Sole Registrations,33204
1979,Within Marriage (or Civil Partnership),568561
1979,Outside Marriage Joint Registrations,38349
1979,Outside Marriage Sole Registrations,31118
1978,Within Marriage (or Civil Partnership),535781
1978,Outside Marriage Joint Registrations,32802
1978,Outside Marriage Sole Registrations,27835