Year,Marriage,Count,Percentage
2020,Within Marriage (or Civil Partnership),"313,370",51.04%
2020,Outside Marriage (or Civil Partnership),"300,566",48.96%
2019,Within Marriage (or Civil Partnership),"329,971",51.53%
2019,Outside Marriage (or Civil Partnership),"310,399",48.47%
2018,Within Marriage (or Civil Partnership),"339,267",51.63%
2018,Outside Marriage (or Civil Partnership),"317,809",48.37%
2017,Within Marriage (or Civil Partnership),"352,270",51.87%
2017,Outside Marriage (or Civil Partnership),"326,836",48.13%
2016,Within Marriage (or Civil Partnership),"364,521",52.35%
2016,Outside Marriage (or Civil Partnership),"331,750",47.65%
2015,Within Marriage (or Civil Partnership),"364,628",52.25%
2015,Outside Marriage (or Civil Partnership),"333,224",47.75%
2014,Within Marriage (or Civil Partnership),"364,998",52.50%
2014,Outside Marriage (or Civil Partnership),"330,235",47.50%
2013,Within Marriage (or Civil Partnership),"367,618",52.63%
2013,Outside Marriage (or Civil Partnership),"330,894",47.37%
2012,Within Marriage (or Civil Partnership),"383,189",52.52%
2012,Outside Marriage (or Civil Partnership),"346,485",47.48%
2011,Within Marriage (or Civil Partnership),"382,574",52.85%
2011,Outside Marriage (or Civil Partnership),"341,339",47.15%
2010,Within Marriage (or Civil Partnership),"384,375",53.15%
2010,Outside Marriage (or Civil Partnership),"338,790",46.85%
2009,Within Marriage (or Civil Partnership),"380,069",53.82%
2009,Outside Marriage (or Civil Partnership),"326,179",46.18%
2008,Within Marriage (or Civil Partnership),"387,930",54.74%
2008,Outside Marriage (or Civil Partnership),"320,781",45.26%
2007,Within Marriage (or Civil Partnership),"384,463",55.72%
2007,Outside Marriage (or Civil Partnership),"305,550",44.28%
2006,Within Marriage (or Civil Partnership),"378,225",56.49%
2006,Outside Marriage (or Civil Partnership),"291,376",43.51%
2005,Within Marriage (or Civil Partnership),"369,330",57.19%
2005,Outside Marriage (or Civil Partnership),"276,505",42.81%
2004,Within Marriage (or Civil Partnership),"369,997",57.84%
2004,Outside Marriage (or Civil Partnership),"269,724",42.16%
2003,Within Marriage (or Civil Partnership),"364,244",58.61%
2003,Outside Marriage (or Civil Partnership),"257,225",41.39%
2002,Within Marriage (or Civil Partnership),"354,090",59.40%
2002,Outside Marriage (or Civil Partnership),"242,032",40.60%
2001,Within Marriage (or Civil Partnership),"356,548",59.96%
2001,Outside Marriage (or Civil Partnership),"238,086",40.04%
2000,Within Marriage (or Civil Partnership),"365,836",60.52%
2000,Outside Marriage (or Civil Partnership),"238,605",39.48%
1999,Within Marriage (or Civil Partnership),"379,983",61.10%
1999,Outside Marriage (or Civil Partnership),"241,889",38.90%
1998,Within Marriage (or Civil Partnership),"395,290",62.16%
1998,Outside Marriage (or Civil Partnership),"240,611",37.84%
1997,Within Marriage (or Civil Partnership),"404,873",62.96%
1997,Outside Marriage (or Civil Partnership),"238,222",37.04%
1996,Within Marriage (or Civil Partnership),"416,822",64.18%
1996,Outside Marriage (or Civil Partnership),"232,663",35.82%
1995,Within Marriage (or Civil Partnership),"428,189",66.06%
1995,Outside Marriage (or Civil Partnership),"219,949",33.94%
1994,Within Marriage (or Civil Partnership),"449,190",67.58%
1994,Outside Marriage (or Civil Partnership),"215,536",32.42%
1993,Within Marriage (or Civil Partnership),"456,919",67.85%
1993,Outside Marriage (or Civil Partnership),"216,548",32.15%
1992,Within Marriage (or Civil Partnership),"474,431",68.79%
1992,Outside Marriage (or Civil Partnership),"215,225",31.21%
1991,Within Marriage (or Civil Partnership),"487,923",69.78%
1991,Outside Marriage (or Civil Partnership),"211,294",30.22%
1990,Within Marriage (or Civil Partnership),"506,141",71.68%
1990,Outside Marriage (or Civil Partnership),"199,999",28.32%
1989,Within Marriage (or Civil Partnership),"501,921",72.98%
1989,Outside Marriage (or Civil Partnership),"185,804",27.02%
1988,Within Marriage (or Civil Partnership),"516,225",74.43%
1988,Outside Marriage (or Civil Partnership),"177,352",25.57%
1987,Within Marriage (or Civil Partnership),"523,080",76.75%
1987,Outside Marriage (or Civil Partnership),"158,431",23.25%
1986,Within Marriage (or Civil Partnership),"519,673",78.62%
1986,Outside Marriage (or Civil Partnership),"141,345",21.38%
1985,Within Marriage (or Civil Partnership),"530,167",80.77%
1985,Outside Marriage (or Civil Partnership),"126,250",19.23%
1984,Within Marriage (or Civil Partnership),"526,353",82.65%
1984,Outside Marriage (or Civil Partnership),"110,465",17.35%
1983,Within Marriage (or Civil Partnership),"529,923",84.23%
1983,Outside Marriage (or Civil Partnership),"99,211",15.77%
1982,Within Marriage (or Civil Partnership),"536,074",85.64%
1982,Outside Marriage (or Civil Partnership),"89,857",14.36%
1981,Within Marriage (or Civil Partnership),"553,509",87.24%
1981,Outside Marriage (or Civil Partnership),"80,983",12.76%
1980,Within Marriage (or Civil Partnership),"578,862",88.21%
1980,Outside Marriage (or Civil Partnership),"77,372",11.79%
1979,Within Marriage (or Civil Partnership),"568,561",89.11%
1979,Outside Marriage (or Civil Partnership),"69,467",10.89%
1978,Within Marriage (or Civil Partnership),"535,781",89.83%
1978,Outside Marriage (or Civil Partnership),"60,637",10.17%
1977,Within Marriage (or Civil Partnership),"513,880",90.27%
1977,Outside Marriage (or Civil Partnership),"55,379",9.73%
1976,Within Marriage (or Civil Partnership),"530,504",90.80%
1976,Outside Marriage (or Civil Partnership),"53,766",9.20%
1975,Within Marriage (or Civil Partnership),"548,554",90.90%
1975,Outside Marriage (or Civil Partnership),"54,891",9.10%
1974,Within Marriage (or Civil Partnership),"583,399",91.17%
1974,Outside Marriage (or Civil Partnership),"56,486",8.83%
1973,Within Marriage (or Civil Partnership),"617,856",91.41%
1973,Outside Marriage (or Civil Partnership),"58,097",8.59%
1972,Within Marriage (or Civil Partnership),"662,929",91.38%
1972,Outside Marriage (or Civil Partnership),"62,511",8.62%
1971,Within Marriage (or Civil Partnership),"717,477",91.61%
1971,Outside Marriage (or Civil Partnership),"65,678",8.39%
1970,Within Marriage (or Civil Partnership),"719,742",91.75%
1970,Outside Marriage (or Civil Partnership),"64,744",8.25%
1969,Within Marriage (or Civil Partnership),"730,497",91.59%
1969,Outside Marriage (or Civil Partnership),"67,041",8.41%
1968,Within Marriage (or Civil Partnership),"749,466",91.48%
1968,Outside Marriage (or Civil Partnership),"69,806",8.52%
1967,Within Marriage (or Civil Partnership),"762,236",91.60%
1967,Outside Marriage (or Civil Partnership),"69,928",8.40%
1966,Within Marriage (or Civil Partnership),"782,767",92.11%
1966,Outside Marriage (or Civil Partnership),"67,056",7.89%
1965,Within Marriage (or Civil Partnership),"796,476",92.32%
1965,Outside Marriage (or Civil Partnership),"66,249",7.68%
1964,Within Marriage (or Civil Partnership),"812,632",92.77%
1964,Outside Marriage (or Civil Partnership),"63,340",7.23%
1963,Within Marriage (or Civil Partnership),"794,951",93.08%
1963,Outside Marriage (or Civil Partnership),"59,104",6.92%
1962,Within Marriage (or Civil Partnership),"783,360",93.40%
1962,Outside Marriage (or Civil Partnership),"55,376",6.60%
1961,Within Marriage (or Civil Partnership),"762,791",94.02%
1961,Outside Marriage (or Civil Partnership),"48,490",5.98%
1960,Within Marriage (or Civil Partnership),"742,298",94.56%
1960,Outside Marriage (or Civil Partnership),"42,707",5.44%
1959,Within Marriage (or Civil Partnership),"710,340",94.90%
1959,Outside Marriage (or Civil Partnership),"38,161",5.10%
1958,Within Marriage (or Civil Partnership),"704,541",95.12%
1958,Outside Marriage (or Civil Partnership),"36,174",4.88%
1957,Within Marriage (or Civil Partnership),"688,819",95.22%
1957,Outside Marriage (or Civil Partnership),"34,562",4.78%
1956,Within Marriage (or Civil Partnership),"666,801",95.21%
1956,Outside Marriage (or Civil Partnership),"33,534",4.79%
1955,Within Marriage (or Civil Partnership),"636,666",95.34%
1955,Outside Marriage (or Civil Partnership),"31,145",4.66%
1954,Within Marriage (or Civil Partnership),"642,042",95.31%
1954,Outside Marriage (or Civil Partnership),"31,609",4.69%
1953,Within Marriage (or Civil Partnership),"651,869",95.25%
1953,Outside Marriage (or Civil Partnership),"32,503",4.75%
1952,Within Marriage (or Civil Partnership),"641,186",95.17%
1952,Outside Marriage (or Civil Partnership),"32,549",4.83%
1951,Within Marriage (or Civil Partnership),"644,758",95.16%
1951,Outside Marriage (or Civil Partnership),"32,771",4.84%
1950,Within Marriage (or Civil Partnership),"661,847",94.94%
1950,Outside Marriage (or Civil Partnership),"35,250",5.06%
1949,Within Marriage (or Civil Partnership),"693,611",94.95%
1949,Outside Marriage (or Civil Partnership),"36,907",5.05%
1948,Within Marriage (or Civil Partnership),"733,732",94.64%
1948,Outside Marriage (or Civil Partnership),"41,574",5.36%
1947,Within Marriage (or Civil Partnership),"834,423",94.71%
1947,Outside Marriage (or Civil Partnership),"46,603",5.29%
1946,Within Marriage (or Civil Partnership),"766,800",93.43%
1946,Outside Marriage (or Civil Partnership),"53,919",6.57%
1945,Within Marriage (or Civil Partnership),"616,517",90.67%
1945,Outside Marriage (or Civil Partnership),"63,420",9.33%
1944,Within Marriage (or Civil Partnership),"696,305",92.66%
1944,Outside Marriage (or Civil Partnership),"55,173",7.34%
1943,Within Marriage (or Civil Partnership),"640,625",93.61%
1943,Outside Marriage (or Civil Partnership),"43,709",6.39%
1942,Within Marriage (or Civil Partnership),"615,036",94.40%
1942,Outside Marriage (or Civil Partnership),"36,467",5.60%
1941,Within Marriage (or Civil Partnership),"548,033",94.64%
1941,Outside Marriage (or Civil Partnership),"31,058",5.36%
1940,Within Marriage (or Civil Partnership),"564,487",95.66%
1940,Outside Marriage (or Civil Partnership),"25,633",4.34%
1939,Within Marriage (or Civil Partnership),"588,909",95.84%
1939,Outside Marriage (or Civil Partnership),"25,570",4.16%
1938,Within Marriage (or Civil Partnership),"594,825",95.75%
1938,Outside Marriage (or Civil Partnership),"26,379",4.25%