Year,Type of Registration,Count
1938,Within Marriage (or Civil Partnership),594825
1939,Within Marriage (or Civil Partnership),588909
1940,Within Marriage (or Civil Partnership),564487
1941,Within Marriage (or Civil Partnership),548033
1942,Within Marriage (or Civil Partnership),615036
1943,Within Marriage (or Civil Partnership),640625
1944,Within Marriage (or Civil Partnership),696305
1945,Within Marriage (or Civil Partnership),616517
1946,Within Marriage (or Civil Partnership),766800
1947,Within Marriage (or Civil Partnership),834423
1948,Within Marriage (or Civil Partnership),733732
1949,Within Marriage (or Civil Partnership),693611
1950,Within Marriage (or Civil Partnership),661847
1951,Within Marriage (or Civil Partnership),644758
1952,Within Marriage (or Civil Partnership),641186
1953,Within Marriage (or Civil Partnership),651869
1954,Within Marriage (or Civil Partnership),642042
1955,Within Marriage (or Civil Partnership),636666
1956,Within Marriage (or Civil Partnership),666801
1957,Within Marriage (or Civil Partnership),688819
1958,Within Marriage (or Civil Partnership),704541
1959,Within Marriage (or Civil Partnership),710340
1960,Within Marriage (or Civil Partnership),742298
1961,Within Marriage (or Civil Partnership),762791
1962,Within Marriage (or Civil Partnership),783360
1963,Within Marriage (or Civil Partnership),794951
1964,Within Marriage (or Civil Partnership),812632
1965,Within Marriage (or Civil Partnership),796476
1966,Within Marriage (or Civil Partnership),782767
1967,Within Marriage (or Civil Partnership),762236
1968,Within Marriage (or Civil Partnership),749466
1969,Within Marriage (or Civil Partnership),730497
1970,Within Marriage (or Civil Partnership),719742
1971,Within Marriage (or Civil Partnership),717477
1972,Within Marriage (or Civil Partnership),662929
1973,Within Marriage (or Civil Partnership),617856
1974,Within Marriage (or Civil Partnership),583399
1975,Within Marriage (or Civil Partnership),548554
1976,Within Marriage (or Civil Partnership),530504
1977,Within Marriage (or Civil Partnership),513880
1978,Within Marriage (or Civil Partnership),535781
1979,Within Marriage (or Civil Partnership),568561
1980,Within Marriage (or Civil Partnership),578862
1981,Within Marriage (or Civil Partnership),553509
1982,Within Marriage (or Civil Partnership),536074
1983,Within Marriage (or Civil Partnership),529923
1984,Within Marriage (or Civil Partnership),526353
1985,Within Marriage (or Civil Partnership),530167
1986,Within Marriage (or Civil Partnership),519673
1987,Within Marriage (or Civil Partnership),523080
1988,Within Marriage (or Civil Partnership),516225
1989,Within Marriage (or Civil Partnership),501921
1990,Within Marriage (or Civil Partnership),506141
1991,Within Marriage (or Civil Partnership),487923
1992,Within Marriage (or Civil Partnership),474431
1993,Within Marriage (or Civil Partnership),456919
1994,Within Marriage (or Civil Partnership),449190
1995,Within Marriage (or Civil Partnership),428189
1996,Within Marriage (or Civil Partnership),416822
1997,Within Marriage (or Civil Partnership),404873
1998,Within Marriage (or Civil Partnership),395290
1999,Within Marriage (or Civil Partnership),379983
2000,Within Marriage (or Civil Partnership),365836
2001,Within Marriage (or Civil Partnership),356548
2002,Within Marriage (or Civil Partnership),354090
2003,Within Marriage (or Civil Partnership),364244
2004,Within Marriage (or Civil Partnership),369997
2005,Within Marriage (or Civil Partnership),369330
2006,Within Marriage (or Civil Partnership),378225
2007,Within Marriage (or Civil Partnership),384463
2008,Within Marriage (or Civil Partnership),387930
2009,Within Marriage (or Civil Partnership),380069
2010,Within Marriage (or Civil Partnership),384375
2011,Within Marriage (or Civil Partnership),382574
2012,Within Marriage (or Civil Partnership),383189
2013,Within Marriage (or Civil Partnership),367618
2014,Within Marriage (or Civil Partnership),364998
2015,Within Marriage (or Civil Partnership),364628
2016,Within Marriage (or Civil Partnership),364521
2017,Within Marriage (or Civil Partnership),352270
2018,Within Marriage (or Civil Partnership),339267
2019,Within Marriage (or Civil Partnership),329971
2020,Within Marriage (or Civil Partnership),313370
1978,Sole Registrations,27835
1979,Sole Registrations,31118
1980,Sole Registrations,33204
1981,Sole Registrations,33850
1982,Sole Registrations,36453
1983,Sole Registrations,38417
1984,Sole Registrations,40593
1985,Sole Registrations,44458
1986,Sole Registrations,47822
1987,Sole Registrations,50474
1988,Sole Registrations,53944
1989,Sole Registrations,53537
1990,Sole Registrations,54831
1991,Sole Registrations,54131
1992,Sole Registrations,51472
1993,Sole Registrations,50242
1994,Sole Registrations,49030
1995,Sole Registrations,47916
1996,Sole Registrations,51016
1997,Sole Registrations,50582
1998,Sole Registrations,49960
1999,Sole Registrations,48203
2000,Sole Registrations,45773
2001,Sole Registrations,43744
2002,Sole Registrations,43129
2003,Sole Registrations,44875
2004,Sole Registrations,45372
2005,Sole Registrations,45170
2006,Sole Registrations,45455
2007,Sole Registrations,45701
2008,Sole Registrations,45464
2009,Sole Registrations,43739
2010,Sole Registrations,42492
2011,Sole Registrations,41818
2012,Sole Registrations,41879
2013,Sole Registrations,39299
2014,Sole Registrations,37779
2015,Sole Registrations,36804
2016,Sole Registrations,36122
2017,Sole Registrations,35203
2018,Sole Registrations,34064
2019,Sole Registrations,33114
2020,Sole Registrations,31963
1938,Outside Marriage (or Civil Partnership),26379
1939,Outside Marriage (or Civil Partnership),25570
1940,Outside Marriage (or Civil Partnership),25633
1941,Outside Marriage (or Civil Partnership),31058
1942,Outside Marriage (or Civil Partnership),36467
1943,Outside Marriage (or Civil Partnership),43709
1944,Outside Marriage (or Civil Partnership),55173
1945,Outside Marriage (or Civil Partnership),63420
1946,Outside Marriage (or Civil Partnership),53919
1947,Outside Marriage (or Civil Partnership),46603
1948,Outside Marriage (or Civil Partnership),41574
1949,Outside Marriage (or Civil Partnership),36907
1950,Outside Marriage (or Civil Partnership),35250
1951,Outside Marriage (or Civil Partnership),32771
1952,Outside Marriage (or Civil Partnership),32549
1953,Outside Marriage (or Civil Partnership),32503
1954,Outside Marriage (or Civil Partnership),31609
1955,Outside Marriage (or Civil Partnership),31145
1956,Outside Marriage (or Civil Partnership),33534
1957,Outside Marriage (or Civil Partnership),34562
1958,Outside Marriage (or Civil Partnership),36174
1959,Outside Marriage (or Civil Partnership),38161
1960,Outside Marriage (or Civil Partnership),42707
1961,Outside Marriage (or Civil Partnership),48490
1962,Outside Marriage (or Civil Partnership),55376
1963,Outside Marriage (or Civil Partnership),59104
1964,Outside Marriage (or Civil Partnership),63340
1965,Outside Marriage (or Civil Partnership),66249
1966,Outside Marriage (or Civil Partnership),67056
1967,Outside Marriage (or Civil Partnership),69928
1968,Outside Marriage (or Civil Partnership),69806
1969,Outside Marriage (or Civil Partnership),67041
1970,Outside Marriage (or Civil Partnership),64744
1971,Outside Marriage (or Civil Partnership),65678
1972,Outside Marriage (or Civil Partnership),62511
1973,Outside Marriage (or Civil Partnership),58097
1974,Outside Marriage (or Civil Partnership),56486
1975,Outside Marriage (or Civil Partnership),54891
1976,Outside Marriage (or Civil Partnership),53766
1977,Outside Marriage (or Civil Partnership),55379
1978,Outside Marriage (or Civil Partnership),60637
1979,Outside Marriage (or Civil Partnership),69467
1980,Outside Marriage (or Civil Partnership),77372
1981,Outside Marriage (or Civil Partnership),80983
1982,Outside Marriage (or Civil Partnership),89857
1983,Outside Marriage (or Civil Partnership),99211
1984,Outside Marriage (or Civil Partnership),110465
1985,Outside Marriage (or Civil Partnership),126250
1986,Outside Marriage (or Civil Partnership),141345
1987,Outside Marriage (or Civil Partnership),158431
1988,Outside Marriage (or Civil Partnership),177352
1989,Outside Marriage (or Civil Partnership),185804
1990,Outside Marriage (or Civil Partnership),199999
1991,Outside Marriage (or Civil Partnership),211294
1992,Outside Marriage (or Civil Partnership),215225
1993,Outside Marriage (or Civil Partnership),216548
1994,Outside Marriage (or Civil Partnership),215536
1995,Outside Marriage (or Civil Partnership),219949
1996,Outside Marriage (or Civil Partnership),232663
1997,Outside Marriage (or Civil Partnership),238222
1998,Outside Marriage (or Civil Partnership),240611
1999,Outside Marriage (or Civil Partnership),241889
2000,Outside Marriage (or Civil Partnership),238605
2001,Outside Marriage (or Civil Partnership),238086
2002,Outside Marriage (or Civil Partnership),242032
2003,Outside Marriage (or Civil Partnership),257225
2004,Outside Marriage (or Civil Partnership),269724
2005,Outside Marriage (or Civil Partnership),276505
2006,Outside Marriage (or Civil Partnership),291376
2007,Outside Marriage (or Civil Partnership),305550
2008,Outside Marriage (or Civil Partnership),320781
2009,Outside Marriage (or Civil Partnership),326179
2010,Outside Marriage (or Civil Partnership),338790
2011,Outside Marriage (or Civil Partnership),341339
2012,Outside Marriage (or Civil Partnership),346485
2013,Outside Marriage (or Civil Partnership),330894
2014,Outside Marriage (or Civil Partnership),330235
2015,Outside Marriage (or Civil Partnership),333224
2016,Outside Marriage (or Civil Partnership),331750
2017,Outside Marriage (or Civil Partnership),326836
2018,Outside Marriage (or Civil Partnership),317809
2019,Outside Marriage (or Civil Partnership),310399
2020,Outside Marriage (or Civil Partnership),300566